Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Johanson_2450AT18x100,1,Antenna_Chip,C89334
"C1, C10, C11, C12, C17, C18, C2, C3",0402,8,0.1uF,C1525
"C13, C14, C19, C5, C8, C9",0402,6,10uF,C15525 
"C15, C16",0603,2,22uF,C109448
C20,1206,1,220uF,C412252 
"C21, C22",0603,2,22pF,C1653
C4,0402,1,1uF,C52923
"C6, C7",0805,2,100uF,C141660
F1,1206,1,Fuse,C883135
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
"J2, J3",Hirose_DF40C-100DS-0.4V_2x50_P0.4mm,2,Conn_02x50_Row_Letter_First_MountingPin,C597931
L1,0805,1,4.7uH,C113096
"MK1, MK2, MK3, MK4",Knowles_SPH0645LM4H-6_3.5x2.65mm,4,SPH0645LM4H,C19272537
"R10, R5, R8",0603,3,10k,C25804
"R12, R13",0603,2,33,C23140
"R14, R15",0603,2,4.7k,C23162
"R3, R4",0603,2,5.1k,C23186
R6,0603,1,100k,C25803
R7,0603,1,30.1k,C137745
U1,QFN40P500X500X90-41N,1,ESP32-C6,C5364646
U2,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,C92489
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,C2682619
U5,TSOT-23-6,1,AP63205WU,C2071056
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9010
