Designator,Mid X,Mid Y,Rotation,Layer
C1,63.04,-37.4,270.0,top
C10,91.94,-31.95,0.0,top
C11,91.91,-33.89,0.0,top
C12,95.77,-43.395,180.0,top
C13,107.38,-30.7,0.0,top
C14,107.63,-32.74,0.0,top
C15,58.14,-92.97,0.0,top
C16,58.09,-95.4,0.0,top
C17,57.66,-31.4,180.0,top
C18,57.63,-32.84,0.0,top
C19,107.46,-92.83,0.0,top
C2,65.31,-37.41,270.0,top
C20,107.78,-95.36,0.0,top
C21,63.435,-93.06,180.0,top
C22,63.395,-95.74,0.0,top
C23,90.5,-88.18,90.0,top
C24,88.02,-87.715,90.0,top
C25,87.25,-94.7,270.0,top
C26,89.19,-94.49,270.0,top
C3,70.77,-41.65,0.0,top
C4,70.75,-44.06,0.0,top
C5,89.09,-44.33,0.0,top
C6,89.09,-41.87,0.0,top
C7,70.8,-29.6,0.0,top
C8,70.79,-31.73,180.0,top
C9,95.03,-36.41,180.0,top
D1,84.78,-98.4,90.0,top
D2,98.46,-34.97,90.0,top
D3,80.05,-43.95,90.0,top
D4,75.906667,-88.18,270.0,top
J1,91.52,-100.875,0.0,top
J2,82.0875,-48.9975,0.0,top
J3,82.0875,-82.9975,0.0,top
J4,74.35,-101.06,0.0,top
L1,95.01,-33.71,90.0,top
MK1,54.625,-33.992,0.0,top
MK2,104.71,-33.992,0.0,top
MK3,54.625,-95.6525,0.0,top
MK4,104.71,-95.6525,0.0,top
R1,67.35,-33.61,180.0,top
R10,104.7,-92.53,90.0,top
R11,82.18,-87.735,90.0,top
R12,79.043333,-87.735,90.0,top
R13,66.47,-90.24,0.0,top
R14,88.09,-31.17,0.0,top
R15,88.1,-33.6,0.0,top
R16,85.27,-95.18,180.0,top
R17,97.82,-32.6,0.0,top
R18,80.05,-41.2925,270.0,top
R19,72.77,-87.735,270.0,top
R2,64.84,-31.68,270.0,top
R3,70.81,-39.26,0.0,top
R4,89.09,-39.41,0.0,top
R5,90.65,-94.64,90.0,top
R6,93.57,-94.72,90.0,top
R7,54.64,-30.93,90.0,top
R8,104.8,-30.67,90.0,top
R9,54.545,-92.4225,90.0,top
SW1,74.82,-41.83,270.0,top
SW2,84.65,-41.83,270.0,top
U1,79.5875,-32.56,0.0,top
U2,64.63,-34.68,90.0,top
U3,79.5875,-65.9975,180.0,top
U4,94.89,-40.2075,270.0,top
U5,67.56,-94.0325,270.0,top
